config,seed,episode,eval_return,episode_length
ppo_mlp_mdp,1,1,500.0,500
ppo_mlp_mdp,1,2,500.0,500
ppo_mlp_mdp,1,3,500.0,500
ppo_mlp_mdp,1,4,500.0,500
ppo_mlp_mdp,1,5,500.0,500
ppo_mlp_mdp,1,6,500.0,500
ppo_mlp_mdp,1,7,500.0,500
ppo_mlp_mdp,1,8,500.0,500
ppo_mlp_mdp,1,9,500.0,500
ppo_mlp_mdp,1,10,500.0,500
ppo_mlp_mdp,1,11,500.0,500
ppo_mlp_mdp,1,12,500.0,500
ppo_mlp_mdp,1,13,500.0,500
ppo_mlp_mdp,1,14,500.0,500
ppo_mlp_mdp,1,15,500.0,500
ppo_mlp_mdp,1,16,500.0,500
ppo_mlp_mdp,1,17,500.0,500
ppo_mlp_mdp,1,18,500.0,500
ppo_mlp_mdp,1,19,500.0,500
ppo_mlp_mdp,1,20,500.0,500
